,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Goodbyes (Feat. Young Thug)","Post Malone",1415135,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
55,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1379252,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
56,"10,000 Hours (with Justin Bieber)","Dan + Shay",1375760,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
57,Ransom,"Lil Tecca",1366184,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
58,"No Me Conoce - Remix","Jhay Cortez",1352230,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
59,"Before You Go","Lewis Capaldi",1342329,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
60,Shallow,"Lady Gaga",1337809,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
61,"Ransom (with Juice WRLD) - Remix","Lil Tecca",1337315,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
62,BOP,DaBaby,1325121,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
63,"My Oh My (feat. DaBaby)","Camila Cabello",1309797,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
64,Liar,"Camila Cabello",1305774,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
65,"Lean Wit Me","Juice WRLD",1293441,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
66,"White Christmas","Bing Crosby",1264375,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
67,"Armed And Dangerous","Juice WRLD",1253371,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
68,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1233498,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
69,"Lights Up","Harry Styles",1225874,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
70,"Adicto (with Anuel AA & Ozuna)",Tainy,1220107,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
71,"when the party's over","Billie Eilish",1208076,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
72,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1201424,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
73,"lovely (with Khalid)","Billie Eilish",1177659,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
74,"Que Tire Pa Lante","Daddy Yankee",1175553,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
75,"It's You","Ali Gatie",1163608,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
76,Wow.,"Post Malone",1137218,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
77,"Sleigh Ride","The Ronettes",1120204,https://open.spotify.com/track/1ODZGydlown4VesUP8HLJX
78,"Have Yourself A Merry Little Christmas","Sam Smith",1120172,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
79,"Ayy Macarena",Tyga,1108586,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
80,"A Holly Jolly Christmas - Single Version","Burl Ives",1107471,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
81,"Trampoline (with ZAYN)",SHAED,1107240,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
82,Happier,Marshmello,1106692,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
83,"Merry Christmas Everyone","Shakin' Stevens",1106668,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
84,"Without Me",Halsey,1088797,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
85,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1087783,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
86,"Whine Up","Nicky Jam",1086286,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
87,"Into the Unknown","Idina Menzel",1085740,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
88,"Lose Control",MEDUZA,1078852,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
89,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1050973,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
90,"Truth Hurts",Lizzo,1046926,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
91,"Santa Claus Is Coming to Town","Michael Bublé",1021187,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
92,Sucker,"Jonas Brothers",1018771,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
93,"thank u, next","Ariana Grande",1008162,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
94,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",1007382,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
95,"Bohemian Rhapsody - Remastered 2011",Queen,984997,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
96,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",973388,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
97,"Soltera - Remix",Lunay,973146,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
98,"No Idea","Don Toliver",959673,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
99,Aventura,Lunay,955184,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
100,"No Guidance (feat. Drake)","Chris Brown",950772,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
101,Believer,"Imagine Dragons",947148,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",945525,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
103,"Hola - Remix",Dalex,938728,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
104,"Piece Of Your Heart",MEDUZA,932190,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
